title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Fully Furnished 3 Bedroom With Swimming Pool,tarred road life camp abuja,maisonette,120000000,40000000,3,3,High,04/02/2026,18/02/2026,2026-02,Abuja
1 Bedroom Apartment,dr adewale oshin lekki phase 1 lekki lagos,Flat/Apartment,5000000,5000000,1,1,Low,03/01/2026,18/02/2026,2026-01,Lagos
Distress 7units Of 5bedroom Terraces Duplexes +bq,close to nnpc guzape abuja,Flat/Apartment,2500000000,0,0,0,High,15/07/2025,18/02/2026,2025-07,Abuja
Luxurious 4 Bedroom Terraced Duplex With Bq,"american international school, durumi abuja",Terraced,240000000,60000000,4,4,High,15/12/2025,18/02/2026,2025-12,Abuja
5 Bedroom Fully Detached Duplex,ikoyi lagos,Detached,3500000000,700000000,5,5,High,23/01/2026,18/02/2026,2026-01,Lagos
Distress 6units Of 4 Bedroom Terrace Duplex With Bq,linder chucker crescent close to minister's house asokoro abuja,Flat/Apartment,2500000000,0,0,0,High,03/10/2025,18/02/2026,2025-10,Abuja
Furnished Penthouse 3 Bedroom Apartment With Bq,old ikoyi old ikoyi ikoyi lagos,Flat/Apartment,45000000,15000000,3,3,Mid,19/01/2026,18/02/2026,2026-01,Lagos
5 Bedroom Terrace Homes,parkview estate ikoyi lagos,Terraced,1400000000,280000000,5,5,High,17/02/2026,18/02/2026,2026-02,Lagos
Luxury 5 Bedroom Fully Detached Duplex,apo resettlement apo abuja,Detached,480000000,96000000,5,5,High,12/01/2026,18/02/2026,2026-01,Abuja
Orange Mall,katampe main abuja,plaza|mall|complex,73000000,0,0,0,High,16/09/2025,18/02/2026,2025-09,Abuja
160 Rooms,airport by presidential wing lugbe abuja,maisonette,15000000000,0,0,0,High,22/09/2025,18/02/2026,2025-09,Abuja
3 Bedroom Apartment,wuye dakibiyu after ivy aparyms wuye abuja,Flat/Apartment,120000000,40000000,3,3,High,25/01/2026,18/02/2026,2026-01,Abuja
"Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym",adeniyi jones ikeja lagos,maisonette,425000,106250,4,5,Low,07/10/2025,18/02/2026,2025-10,Lagos
Furnished 7 Bedroom Detached Duplex With Elevator,by market square kado abuja,Detached,1500000000,214285714,7,7,High,19/12/2025,18/02/2026,2025-12,Abuja
Fully Furnished 5 Bedroom Duplex + Inverter & Bq,ikate lekki lagos,duplex,32000000,6400000,5,5,Mid,10/02/2026,18/02/2026,2026-02,Lagos
4 Bedroom Fully Detached Duplex With Bq,stargate oluyole estate ibadan oyo,Detached,220000000,0,0,0,High,26/06/2025,18/02/2026,2025-06,Oyo
Newly Built 4 Bedroom Terrace Duplex,guzape abuja,Terraced,455000000,113750000,4,4,High,23/01/2026,18/02/2026,2026-01,Abuja
Newly Built 4 Bedroom Terrace Duplex,ikate lekki lagos,Terraced,20000000,5000000,4,4,Mid,17/01/2026,18/02/2026,2026-01,Lagos
1 Bedroom Apartment,aina afolayan bodija ibadan oyo,Flat/Apartment,100000,100000,1,2,Low,08/01/2026,18/02/2026,2026-01,Oyo
Sweet And Beautiful Fully Furnished Shared Apartment,mobil road ikota lekki lagos,Flat/Apartment,2000000,2000000,1,1,Low,30/01/2026,18/02/2026,2026-01,Lagos
Newly Built 4 Bedroom Terrace Duplex With Bq,katampe extension katampe abuja,Terraced,370000000,92500000,4,4,High,31/01/2026,18/02/2026,2026-01,Abuja
4 Bedroom Semi Detached Home,ikate lekki lagos,Detached,360000000,90000000,4,4,High,21/01/2026,18/02/2026,2026-01,Lagos
Developer's Delight 624sqm Residential Plot For Sale,osapa london lekki lagos,land,250000000,0,0,0,High,31/12/2025,18/02/2026,2025-12,Lagos
Massive 4 Bedroom Terraced Duplex With Bq,main maitama abuja,Terraced,1500000000,375000000,4,4,High,06/10/2025,18/02/2026,2025-10,Abuja
Newly Built 3 Bedroom Apartment,dantata district estate off 3rd avenue gwarinpa abuja,Flat/Apartment,160000000,53333333,3,3,High,25/01/2026,18/02/2026,2026-01,Abuja
4 Bedroom Duplex,close to ogudu lagos,duplex,245000000,61250000,4,5,High,15/05/2025,18/02/2026,2025-05,Lagos
Luxury 4 Bedroom Apartment With All Amenities,old ikoyi ikoyi lagos,Flat/Apartment,55000000,13750000,4,4,High,19/01/2026,18/02/2026,2026-01,Lagos
4 Bedroom Terraced Duplex With Bq,spar market life camp abuja,Terraced,150000000,30000000,5,5,High,14/10/2025,18/02/2026,2025-10,Abuja
2 Bedroom Apartment,oniru victoria island lagos,Flat/Apartment,300000000,150000000,2,2,High,14/01/2026,18/02/2026,2026-01,Lagos
2 Bedroom Maisonette,"off freedom way, lekki phase 1 freedom way lekki lagos",maisonette,2500000,1250000,2,2,Low,11/02/2026,18/02/2026,2026-02,Lagos
Serviced 2bed+bq,lekki phase 1 lekki lagos,maisonette,270000000,135000000,2,3,High,16/02/2026,19/02/2026,2026-02,Lagos
5bed Detached+bq,"cowrie creek est, ikate lekki lagos",Detached,2300000000,460000000,5,6,High,16/02/2026,19/02/2026,2026-02,Lagos
4bed Semi Detached+bq,magodo gra phase 1 ojodu lagos,Detached,350000000,87500000,4,5,High,17/02/2026,19/02/2026,2026-02,Lagos
2bed Penthouse+bq,lekki phase 1 lekki lagos,penthouse,800000000,400000000,2,3,High,18/02/2026,19/02/2026,2026-02,Lagos
Blocks Of Flats,mende maryland lagos,Flat/Apartment,350000000,0,0,0,High,31/01/2026,19/02/2026,2026-01,Lagos
Half Plot Of Land Facing Expressway,ebute ogolonto road ebute ikorodu lagos,land,30000000,0,0,0,Mid,16/02/2026,19/02/2026,2026-02,Lagos
Furnished 1 Bedroom Apartment,lekki phase 1 lekki lagos,Flat/Apartment,140000000,140000000,1,1,High,01/02/2026,19/02/2026,2026-02,Lagos
6 Bedroom Detached Duplex With Bq,ayobo ipaja lagos,Detached,220000000,36666667,6,6,High,28/01/2026,18/02/2026,2026-01,Lagos
Newly Built 5 Bedroom Fully Detached Duplex,banana island ikoyi lagos,Detached,6300000000,1260000000,5,5,High,17/12/2025,18/02/2026,2025-12,Lagos
"Plots For In Genesis Court, Olokonla.@n280,000 Per Sqm",genesis court olokonla ajah lagos,land,280000,0,0,0,Low,02/02/2026,18/02/2026,2026-02,Lagos
Luxury 5 Bedroom Detached Duplex With Bq,lekki phase 1 lekki lagos,Detached,850000000,170000000,5,5,High,01/02/2026,18/02/2026,2026-02,Lagos
Newly Built Smart 4 Bedroom Terraced Duplex,ikate lekki lagos,Terraced,400000000,100000000,4,5,High,09/01/2026,18/02/2026,2026-01,Lagos
4 Bedroom Terrace Duplex,dopemu cement agege lagos,Terraced,250000000,62500000,4,5,High,18/02/2026,18/02/2026,2026-02,Lagos
